date,reported,estimated,source
2021-01-06,6000,6000,https://www.telegraaf.nl/nieuws/677008065/acute-zorg-verwacht-inenten-maandag-af-te-ronden
2021-01-07,15000,15000,https://www.lnaz.nl/nieuws/inmiddels-15000-medewerkers-in-de-acute-zorg-gevaccineerd
2021-01-08,27000,27000,https://twitter.com/hugodejonge/status/1347629157946167297
2021-01-09,30000,30000,https://www.lnaz.nl/nieuws/30000-medewerkers-in-de-acute-zorg-gevaccineerd
2021-01-10,34000,34000,https://www.rivm.nl/sites/default/files/2021-01/Deelname%252525252520COVID-19-vaccinatie%252525252520in%252525252520Nederland%25252525252020210119_0.pdf
2021-01-11,35500,35500,https://twitter.com/hugodejonge/status/1348725466010628098
2021-01-12,45000,45000,https://www.youtube.com/watch?v=HJyszQXZIqA
2021-01-13,47000,47000,https://twitter.com/hugodejonge/status/1349308463852244992?s=20
2021-01-15,55000,55000,https://twitter.com/hugodejonge/status/1350157336988561411?s=20
2021-01-17,77000,77000,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma
2021-01-20,100000,100000,https://twitter.com/hugodejonge/status/1351945435452219394
2021-01-22,135000,135000,https://twitter.com/hugodejonge/status/1352641502892204040
2021-01-24,146612,146612,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma
2021-01-31,176286,176286,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-01,248055,248055,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-02,277275,277275,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-03,303702,303702,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-04,330494,330494,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-05,356517,356517,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-06,382975,382975,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-07,414198,414198,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-08,414858,414858,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-09,434417,434417,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-10,460252,460252,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-11,489558,489558,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-12,518710,518710,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-13,548430,548430,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-14,577620,577620,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-15,606861,606861,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-16,623539,623539,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-17,654186,654186,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-18,687306,687306,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-02-23,862964,1112536,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
