date,reported,estimated,source
2021-01-06,0,7672,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-07,0,10223,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-08,0,17998,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-09,0,25763,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-10,0,67514,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-11,0,43349,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-12,0,50395,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-13,0,112108,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-14,0,61709,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-15,0,67135,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-16,0,72098,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-17,0,154124,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-18,0,90501,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-19,0,103941,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-20,0,234758,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-21,0,130814,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-22,0,145100,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-23,0,155923,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-24,0,333488,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-25,0,182784,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-26,0,202298,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-27,0,457368,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
2021-01-28,0,259011,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
