,date_start_unix,date_end_unix,astra_zeneca,pfizer,janssen,moderna,total,date_of_insertion_unix
0,1609113600,1609632000,0,0,0,0,0,1623166946
1,1609718400,1610236800,0,33757,0,0,33757,1623166946
2,1610323200,1610841600,0,77060,0,0,77060,1623166946
3,1610928000,1611446400,0,164169,0,2572,166741,1623166946
4,1611532800,1612051200,0,343721,0,8883,352604,1623166946
5,1612137600,1612656000,0,558944,0,14874,573818,1623166946
6,1612742400,1613260800,547,770335,0,21229,792111,1623166946
7,1613347200,1613865600,69600,936110,0,37211,1042921,1623166946
8,1613952000,1614470400,182828,1149263,0,56593,1388684,1623166946
9,1614556800,1615075200,258531,1350960,0,75084,1684575,1623166946
10,1615161600,1615680000,360645,1516366,0,93983,1970994,1623166946
11,1615766400,1616284800,360645,1710253,0,113977,2184875,1623166946
12,1616371200,1616889600,456937,1871515,0,154725,2483177,1623166946
13,1616976000,1617494400,577546,2161685,0,196147,2935378,1623166946
14,1617580800,1618099200,847104,2502527,0,230361,3579992,1623166946
15,1618185600,1618704000,1159150,2970990,0,261737,4391877,1623166946
16,1618790400,1619308800,1266073,3486235,8883,295994,5057185,1623166946
17,1619395200,1619913600,1355103,4026628,48422,325581,5755734,1623166946
18,1620000000,1620518400,1500831,4618418,95472,374417,6589138,1623166946
19,1620604800,1621123200,1690680,5322540,124546,451831,7589597,1623166946
20,1621209600,1621728000,1839181,6098469,142406,535647,8615703,1623166946
21,1621814400,1622332800,1953718,6777097,238349,638244,9607408,1623166946
22,1622419200,1622937600,2090024,7519052,384134,779418,10772628,1623166946
