date,estimated,date_of_insertion_unix
2021-01-06,44,1615208510
2021-01-07,128,1615208510
2021-01-08,1022,1615208510
2021-01-09,2018,1615208510
2021-01-10,2934,1615208510
2021-01-11,4726,1615208510
2021-01-12,6587,1615208510
2021-01-13,8506,1615208510
2021-01-14,10487,1615208510
2021-01-15,19332,1615208510
2021-01-16,28447,1615208510
2021-01-17,37591,1615208510
2021-01-18,47673,1615208510
2021-01-19,57579,1615208510
2021-01-20,67579,1615208510
2021-01-21,77597,1615208510
2021-01-22,97591,1615208510
2021-01-23,97279,1615208510
2021-01-24,107100,1615208510
2021-01-25,116593,1615208510
2021-01-26,128311,1615208510
2021-01-27,140205,1615208510
2021-01-28,152253,1615208510
2021-01-29,152253,1615208510
2021-01-30,176286,1615208510
2021-01-31,187339,1615208510
2021-02-01,203559,1615208510
2021-02-02,222486,1615208510
2021-02-03,245278,1615208510
2021-02-04,269801,1615208510
2021-02-05,295159,1615208510
2021-02-06,320982,1615208510
2021-02-07,321042,1615208510
2021-02-08,340601,1615208510
2021-02-09,366436,1615208510
2021-02-10,395742,1615208510
2021-02-11,424894,1615208510
2021-02-12,454614,1615208510
2021-02-13,483804,1615208510
2021-02-14,512392,1615208510
2021-02-15,528988,1615208510
2021-02-16,559635,1615208510
2021-02-17,592755,1615208510
2021-02-18,625081,1615208510
2021-02-19,656348,1615208510
2021-02-20,685338,1615208510
2021-02-21,712193,1615208510
2021-02-22,741003,1615208510
2021-02-23,768413,1615208510
2021-02-24,794070,1615208510
2021-02-25,818242,1615208510
2021-02-26,837044,1615208510
2021-02-27,855368,1615208510
2021-02-28,871214,1615208510
2021-03-01,892838,1615208510
2021-03-02,913875,1615208510
2021-03-03,934371,1615208510
2021-03-04,954564,1615208510
2021-03-05,974599,1615208510
2021-03-06,994281,1615208510
2021-03-07,1013640,1615208510
