date,estimated,date_of_insertion_unix
2021-01-06,0,1618317591
2021-01-07,15000,1618317591
2021-01-08,26000,1618317591
2021-01-09,30000,1618317591
2021-01-10,31000,1618317591
2021-01-11,38000,1618317591
2021-01-12,38500,1618317591
2021-01-13,38500,1618317591
2021-01-14,39000,1618317591
2021-01-15,39000,1618317591
2021-01-16,39000,1618317591
2021-01-17,40216,1618317591
2021-01-18,40216,1618317591
2021-01-19,40216,1618317591
2021-01-20,40216,1618317591
2021-01-21,40216,1618317591
2021-01-22,40216,1618317591
2021-01-23,40216,1618317591
2021-01-24,40216,1618317591
2021-01-25,40216,1618317591
2021-01-26,40216,1618317591
2021-01-27,46416,1618317591
2021-01-28,46416,1618317591
2021-01-29,57216,1618317591
2021-01-30,57216,1618317591
2021-01-31,60716,1618317591
2021-02-01,73716,1618317591
2021-02-02,81216,1618317591
2021-02-03,85216,1618317591
2021-02-04,86716,1618317591
2021-02-05,87816,1618317591
2021-02-06,93216,1618317591
2021-02-07,93816,1618317591
2021-02-08,93816,1618317591
2021-02-09,93816,1618317591
2021-02-10,93816,1618317591
2021-02-11,93816,1618317591
2021-02-12,93816,1618317591
2021-02-13,93816,1618317591
2021-02-14,94469,1618317591
2021-02-15,94551,1618317591
2021-02-16,94551,1618317591
2021-02-17,94551,1618317591
2021-02-18,94551,1618317591
2021-02-19,94551,1618317591
2021-02-20,94551,1618317591
2021-02-21,94551,1618317591
2021-02-22,94551,1618317591
2021-02-23,94551,1618317591
2021-02-24,97551,1618317591
2021-02-25,97551,1618317591
2021-02-26,97551,1618317591
2021-02-27,97551,1618317591
2021-02-28,97551,1618317591
2021-03-01,97551,1618317591
2021-03-02,97551,1618317591
2021-03-03,97551,1618317591
2021-03-04,100051,1618317591
2021-03-05,100051,1618317591
2021-03-06,100051,1618317591
2021-03-07,102851,1618317591
2021-03-08,102851,1618317591
2021-03-09,107851,1618317591
2021-03-10,107851,1618317591
2021-03-11,107851,1618317591
2021-03-12,107851,1618317591
2021-03-13,107851,1618317591
2021-03-14,107851,1618317591
2021-03-15,107851,1618317591
2021-03-16,107851,1618317591
2021-03-17,108601,1618317591
2021-03-18,108601,1618317591
2021-03-19,108601,1618317591
2021-03-20,108601,1618317591
2021-03-21,108601,1618317591
2021-03-22,108601,1618317591
2021-03-23,108601,1618317591
2021-03-24,108601,1618317591
2021-03-25,108601,1618317591
2021-03-26,108601,1618317591
2021-03-27,108601,1618317591
2021-03-28,108601,1618317591
2021-03-29,108601,1618317591
2021-03-30,108601,1618317591
2021-03-31,108601,1618317591
2021-04-01,108601,1618317591
2021-04-02,108601,1618317591
2021-04-03,108601,1618317591
2021-04-04,108601,1618317591
2021-04-05,108601,1618317591
2021-04-06,108601,1618317591
2021-04-07,108601,1618317591
2021-04-08,108601,1618317591
2021-04-09,108601,1618317591
2021-04-10,108601,1618317591
