date,estimated,reported,date_of_insertion_unix
2021-01-06,44,44,1615208510
2021-01-07,15128,15128,1615208510
2021-01-08,27022,27022,1615208510
2021-01-09,32018,32018,1615208510
2021-01-10,33934,33934,1615208510
2021-01-11,42726,42726,1615208510
2021-01-12,45087,45087,1615208510
2021-01-13,47006,47006,1615208510
2021-01-14,49487,49487,1615208510
2021-01-15,58332,58332,1615208510
2021-01-16,67447,67447,1615208510
2021-01-17,77807,77807,1615208510
2021-01-18,88926,88926,1615208510
2021-01-19,98832,98832,1615208510
2021-01-20,116271,116271,1615208510
2021-01-21,131249,131249,1615208510
2021-01-22,151243,151243,1615208510
2021-01-23,152495,152495,1615208510
2021-01-24,164145,164145,1615208510
2021-01-25,173638,173638,1615208510
2021-01-26,185356,185356,1615208510
2021-01-27,203450,203450,1615208510
2021-01-28,215498,215498,1615208510
2021-01-29,226298,226298,1615208510
2021-01-30,322918,233502,1615208510
2021-01-31,343881,248055,1615208510
2021-02-01,375908,277275,1615208510
2021-02-02,416093,303702,1615208510
2021-02-03,454998,330494,1615208510
2021-02-04,495535,356517,1615208510
2021-02-05,532717,382975,1615208510
2021-02-06,568863,414198,1615208510
2021-02-07,571361,414858,1615208510
2021-02-08,595934,434417,1615208510
2021-02-09,626146,460252,1615208510
2021-02-10,660284,489558,1615208510
2021-02-11,694888,518710,1615208510
2021-02-12,725175,548430,1615208510
2021-02-13,754365,577620,1615208510
2021-02-14,783606,606861,1615208510
2021-02-15,800905,623539,1615208510
2021-02-16,835929,654186,1615208510
2021-02-17,874959,687306,1615208510
2021-02-18,915713,719632,1615208510
2021-02-19,958445,750899,1615208510
2021-02-20,987435,779889,1615208510
2021-02-21,1014290,806744,1615208510
2021-02-22,1062871,835554,1615208510
2021-02-23,1112536,862964,1615208510
2021-02-24,1169302,891621,1615208510
2021-02-25,1236192,915793,1615208510
2021-02-26,1285742,934595,1615208510
2021-02-27,1319008,952919,1615208510
2021-02-28,1336670,968765,1615208510
2021-03-01,1379655,990389,1615208510
2021-03-02,1425319,1011426,1615208510
2021-03-03,1470623,1031922,1615208510
2021-03-04,1527014,1054615,1615208510
2021-03-05,1571318,1074650,1615208510
2021-03-06,1596256,1094332,1615208510
2021-03-07,1620090,1116491,1615208510
